,Taxid,Species,Genome,Proteome,Tr.level,Tr.primary,Tr.direct.contact,Tr.faecal.oral,Tr.food.borne,Tr.respiratory,Tr.vector,Tr.vertical,Tr.multiple,Tp.primary,Tp.cardiac,Tp.circulatory,Tp.endocrine,Tp.gastrointestinal,Tp.hepatic,Tp.joints,Tp.muscular,Tp.neural,Tp.renal,Tp.reproductive,Tp.respiratory,Tp.sensory,Tp.skin,Tp.vascular,Tp.multiple
45,90961,Lyssavirus australis,AF418014.1,"AAN05306.1,AAN05307.1,AAN05308.2,AAN05309.1,AAN05310.1",2,direct contact,1.0,0.0,0.0,0.0,0.0,0.0,0.0,neural,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
46,38767,Lyssavirus duvenhage,NC_020810.1,"YP_007641402.1,YP_007641403.1,YP_007641404.1,YP_007641405.1,YP_007641406.1",2,direct contact,1.0,0.0,0.0,0.0,0.0,0.0,0.0,neural,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
47,2951618,Lyssavirus hamburg,MW551946.1,"QVU02221.1,QVU02222.1,QVU02223.1,QVU02224.1,QVU02225.1",2,direct contact,1.0,0.0,0.0,0.0,0.0,0.0,0.0,neural,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
48,2951619,Lyssavirus helsinki,NC_009528.2,"YP_001285393.1,YP_001285394.2,YP_001285395.1,YP_001285396.1,YP_001285397.1",2,direct contact,1.0,0.0,0.0,0.0,0.0,0.0,0.0,neural,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
49,249583,Lyssavirus irkut,NC_020809.1,"YP_007641397.1,YP_007641398.1,YP_007641399.1,YP_007641400.1,YP_007641401.1",2,direct contact,1.0,0.0,0.0,0.0,0.0,0.0,0.0,neural,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
50,12538,Lyssavirus mokola,NC_006429.1,"YP_142350.1,YP_142351.1,YP_142352.1,YP_142353.1,YP_142354.1",2,,,,,,,,,neural,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
51,11292,Lyssavirus rabies,EF437215.1,"ABO15576.1,ABO15577.1,ABO15578.1,ABO15579.1,ABO15580.1",3,direct contact,1.0,0.0,0.0,1.0,0.0,1.0,1.0,neural,1,0,1,1,0,0,1,1,1,0,1,0,1,0,1
52,338478,Macaque simian foamy virus,JN801175.1,"AFA44808.1,AFA44809.1,AFA44810.1,AFA44812.1,AFA44811.1",2,direct contact,1.0,0.0,0.0,0.0,0.0,0.0,0.0,circulatory,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
53,1239565,Mamastrovirus 1,LC694990.1,"BDG57720.1,BDG57721.1,BDG57722.1",4,faecal-oral,0.0,1.0,0.0,0.0,0.0,0.0,0.0,gastrointestinal,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
54,1239570,Mamastrovirus 6,MZ707081.1,"USJ75243.1,USJ75244.1,USJ75245.1",4,faecal-oral,0.0,1.0,0.0,0.0,0.0,0.0,0.0,gastrointestinal,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
55,1239572,Mamastrovirus 8,GQ415660.1,"ACX85471.1,ACX85470.1,ACX85472.1",4,faecal-oral,0.0,1.0,0.0,0.0,0.0,0.0,0.0,gastrointestinal,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
56,1239573,Mamastrovirus 9,NC_013060.1,"YP_003090286.1,YP_003090287.1,YP_003090288.1",4,faecal-oral,0.0,1.0,0.0,0.0,0.0,0.0,0.0,gastrointestinal,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
57,351073,Mammalian orthoreovirus,"NC_013225.1,NC_013226.1,NC_013227.1,NC_013228.1,NC_013229.1,NC_013230.1,NC_013232.1,NC_013233.1,NC_013234.1,NC_013231.1","YP_003199418.1,YP_003199419.1,YP_003199420.1,YP_003199421.1,YP_003199422.1,YP_003199423.1,YP_003199425.1,YP_003199426.1,YP_003199427.1,YP_003199424.1,YP_009344826.1",4,faecal-oral,0.0,1.0,0.0,1.0,0.0,0.0,1.0,systemic,1,0,0,1,1,0,1,1,0,0,1,0,0,0,1
58,3052299,Mammarenavirus brazilense,"NC_006313.1,NC_006317.1","YP_089665.1,YP_089666.1,YP_089659.1,YP_089660.1",3,respiratory,0.0,0.0,0.0,1.0,0.0,0.0,0.0,systemic,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
59,3052300,Mammarenavirus caliense,"NC_006447.1,NC_006439.1","YP_138543.1,YP_138544.1,YP_138534.1,YP_138535.1",2,,,,,,,,,systemic,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
60,3052302,Mammarenavirus chapareense,"NC_010562.1,NC_010563.1","YP_001816782.1,YP_001816783.1,YP_001816784.1,YP_001816785.1",2,respiratory,0.0,0.0,0.0,1.0,0.0,0.0,0.0,systemic,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
61,3052303,Mammarenavirus choriomeningitidis,"LC413283.1,LC413284.1","BBF88770.1,BBF88771.1,BBF88772.1,BBF88773.1",3,respiratory,1.0,0.0,0.0,1.0,0.0,1.0,1.0,neural,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1
62,3052307,Mammarenavirus guanaritoense,"NC_005082.1,NC_005077.1","NP_899220.1,NP_899221.1,NP_899210.1,NP_899211.1",3,respiratory,1.0,0.0,0.0,1.0,0.0,0.0,1.0,systemic,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1
63,2169991,Mammarenavirus juninense,"NC_005080.1,NC_005081.1","NP_899216.1,NP_899217.1,NP_899218.1,NP_899219.1",3,respiratory,1.0,0.0,0.0,1.0,0.0,0.0,1.0,systemic,0,0,1,1,1,0,0,1,1,0,1,0,0,0,1
64,3052310,Mammarenavirus lassaense,"PP826286.1,PP826287.1","XBA96065.1,XBA96066.1,XBA96067.1,XBA96068.1",3,respiratory,1.0,0.0,0.0,1.0,0.0,1.0,1.0,systemic,0,0,1,1,1,0,0,1,1,0,1,1,0,1,1
65,3052314,Mammarenavirus lujoense,"NC_012776.1,NC_012777.1","YP_002929490.1,YP_002929491.1,YP_002929492.1,YP_002929493.1",3,direct contact,1.0,0.0,0.0,0.0,0.0,0.0,0.0,systemic,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
66,3052317,Mammarenavirus machupoense,"NC_005078.1,NC_005079.1","NP_899212.1,NP_899213.1,NP_899214.1,NP_899215.1",3,respiratory,1.0,0.0,0.0,1.0,0.0,0.0,1.0,systemic,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1
67,3052325,Mammarenavirus praomyidis,"NC_007904.1,NC_007903.1","YP_516228.1,YP_516229.1,YP_516226.1,YP_516227.1",2,respiratory,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,3052331,Mammarenavirus whitewaterense,"NC_010703.1,NC_010700.1","YP_001911119.1,YP_001911120.1,YP_001911113.1,YP_001911114.1",2,respiratory,1.0,0.0,0.0,1.0,0.0,0.0,1.0,systemic,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1
69,59301,Mayaro virus,KY618135.1,"ASY08164.1,ASY08165.1,ASY08166.1",2,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,viraemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,3047384,Metapneumovirus avis,NC_039231.1,"YP_009513220.1,YP_009513221.1,YP_009513222.1,YP_009513223.1,YP_009513224.1,YP_009513225.1,YP_009513226.1,YP_009513227.1,YP_009513228.1",2,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,3048148,Metapneumovirus hominis,OL794386.1,"WAB07763.1,WAB07764.1,WAB07765.1,WAB07766.1,WAB07767.1,WAB07768.1,WAB07769.1,WAB07770.1,WAB07771.1",4,direct contact,1.0,0.0,0.0,1.0,0.0,0.0,1.0,respiratory,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
72,1335626,Middle East respiratory syndrome-related coronavirus,NC_019843.3,"YP_009047202.1,YP_009047203.1,YP_009047204.1,YP_009047205.1,YP_009047206.1,YP_009047207.1,YP_009047208.1,YP_009047209.1,YP_009047210.1,YP_009047211.1,YP_009047212.1",3,respiratory,1.0,0.0,0.0,1.0,0.0,0.0,1.0,respiratory,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
73,3052342,Morbillivirus canis,NC_001921.1,"NP_047201.1,NP_047202.1,NP_047203.1,NP_047204.1,NP_047205.1,NP_047206.1,NP_047207.1",2,direct contact,1.0,0.0,0.0,1.0,0.0,0.0,1.0,viraemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,3052345,Morbillivirus hominis,OP236009.1,"WDW19391.1,WDW19392.1,WDW19393.1,WDW19394.1,WDW19395.1,WDW19396.1,WDW19397.1,WDW19398.1",4,direct contact,1.0,0.0,0.0,1.0,0.0,1.0,1.0,systemic,1,0,0,1,1,0,0,1,1,1,1,1,1,0,1
75,2083199,Mosso das Pedras virus,NC_038857.1,"YP_009508088.1,YP_009508089.1",2,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,60875,Mucambo virus,NC_038672.1,"YP_009507798.1,YP_009507799.1",2,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,viraemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,59302,Ndumu virus,NC_016959.1,"YP_008888544.1,YP_005351232.1,YP_005351233.1,YP_006491255.1",2,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,118027,Nelson Bay orthoreovirus,"NC_038665.1,NC_038661.1,NC_038664.1,NC_038666.1,NC_038667.1,NC_038659.1,NC_038663.1,NC_038658.1,NC_038660.1,NC_038662.1","YP_009507776.1,YP_009507777.1,YP_009507778.1,YP_009507779.1,YP_009507780.1,YP_009507781.1,YP_009507782.1,YP_009507783.1,YP_009507784.1,YP_009507785.1,YP_009507786.1,YP_009507787.1",3,,,,,,,,,respiratory,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
79,11983,Norwalk virus,NC_039897.1,"YP_009538340.1,YP_009538341.1,YP_009538342.1",4,faecal-oral,1.0,1.0,1.0,0.0,0.0,0.0,1.0,gastrointestinal,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
80,2169701,Onyong-nyong virus,MF409176.1,"AVN98161.1,AVN98162.1",3,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,viraemic,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
81,3051375,Orthoavulavirus javaense,OR636618.1,"WOK24249.1,WOK24250.1,WOK24251.1,WOK24254.1,WOK24252.1,WOK24253.1",2,direct contact,1.0,0.0,0.0,0.0,0.0,0.0,0.0,viraemic,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
82,1714619,Orthobornavirus bornaense,MH190827.1,"AYO61022.1,AYO61023.1,AYO61024.1,AYO61025.1,AYO61026.1,AYO61027.1",2,,,,,,,,,neural,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
83,1897087,Orthobornavirus sciuri,MN092363.1,"QIX04697.1,QIX04698.1,QIX04699.1,QIX04700.1,QIX04701.1,QIX04702.1",2,direct contact,1.0,0.0,0.0,0.0,0.0,0.0,0.0,neural,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
84,3052381,Orthobunyavirus bunyamweraense,"JX857328.1,JX857329.1,JX857330.1","AFY23385.1,AFY23386.1,AFY23387.1,AFY23388.1",2,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,viraemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,3052384,Orthobunyavirus bwambaense,"NC_034479.1,NC_034480.1,NC_034490.1","YP_009362049.1,YP_009362050.1,YP_009362051.1,YP_009362064.1",3,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,viraemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,3052387,Orthobunyavirus caraparuense,"KM092512.1,KM092513.1,KM092514.1","AJZ73167.1,AJZ73168.1,AJZ73169.1,AJZ73170.1",2,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,viraemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,3052389,Orthobunyavirus catuense,"NC_038728.1,NC_038727.1,NC_038726.1","YP_009507868.1,YP_009507869.1,YP_009507870.1",2,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,viraemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,3052390,Orthobunyavirus encephalitidis,"NC_055117.1,NC_055118.1,NC_055119.1","YP_010084297.1,YP_010084298.1,YP_010084299.1,YP_010084300.1",2,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,neural,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
89,3052396,Orthobunyavirus guamaense,"NC_038736.1,NC_038735.1,NC_038737.1","YP_009507878.1,YP_009507879.1,YP_009507880.1",2,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,viraemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,3052397,Orthobunyavirus guaroaense,"NC_034486.1,NC_034487.1,NC_034506.1","YP_009362058.1,YP_009362059.1,YP_009362060.1,YP_009362061.1,YP_009362080.1",2,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,viraemic,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
91,3052401,Orthobunyavirus insulae,"NC_038738.1,NC_038739.1,NC_038740.1","YP_009507881.1,YP_009507882.1,YP_009507883.1,YP_009507884.1",2,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,viraemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,3052413,Orthobunyavirus madridense,"MG029278.1,MG029279.1,MG029280.1","AVX48958.1,AVX48959.1,AVX48961.1,AVX48960.1",2,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,viraemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,3052418,Orthobunyavirus maritubaense,"NC_078946.1,NC_078945.1,NC_078944.1","YP_010840699.1,YP_010840700.1,YP_010840701.1,YP_010840702.1",2,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,viraemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
