iteration,taxid,set,LatestSppName
1,11083,test,Powassan virus
1,64290,train,Bagaza virus
1,1972565,train,Morreton vesiculovirus
1,11085,train,Langat virus
1,64305,train,Cacipacore virus
1,1933185,test,Frijoles phlebovirus
1,11082,train,West Nile virus
1,3052456,train,Wyeomyia orthobunyavirus
1,3052317,train,Machupo mammarenavirus
1,45455,test,Macacine gammaherpesvirus 4
1,3052389,train,Catu orthobunyavirus
1,3052320,train,Mopeia mammarenavirus
1,1933263,train,Bimiti orthobunyavirus
1,3052387,train,Caraparu orthobunyavirus
1,64311,train,Kedougou virus
1,3052679,train,Salehabad phlebovirus
1,35246,train,Cercopithecine alphaherpesvirus 9
1,60879,train,Cabassou virus
1,122291,test,Kappapapillomavirus 1
1,2003652,train,Cosavirus F
1,60877,train,Tonate virus
1,11320,train,Influenza A virus
1,11660,train,Caprine arthritis encephalitis virus
1,1678147,train,Piscihepevirus A
1,64294,train,Yokose virus
1,11002,test,Infectious pancreatic necrosis virus
1,10298,train,Human alphaherpesvirus 1
1,3052384,test,Bwamba orthobunyavirus
1,1972573,train,Isfahan vesiculovirus
1,249584,train,West Caucasian bat lyssavirus
1,3052429,test,Oropouche orthobunyavirus
1,84589,test,Salmon pancreas disease virus
1,1891762,train,Human polyomavirus 1
1,1239565,train,Mamastrovirus 1
1,164416,train,Wesselsbron virus
1,1330491,train,Cosavirus A
1,64310,test,Kadam virus
1,11520,train,Influenza B virus
1,3052045,train,Ungulate bocaparvovirus 1
1,3052608,train,Pegivirus C
1,37296,train,Human gammaherpesvirus 8
1,11250,train,Human orthopneumovirus
1,333928,train,Gammapapillomavirus 2
1,3052561,train,Simian orthorubulavirus
1,3052640,train,Candiru phlebovirus
1,3052308,train,Ippy mammarenavirus
1,183405,train,Rotavirus F
1,310907,train,Enterovirus H
1,2748958,train,Huaiyangshan banyangvirus
1,70796,train,Tremovirus A
1,333931,train,Gammapapillomavirus 5
1,1933178,train,Akabane orthobunyavirus
1,11709,train,Human immunodeficiency virus 2
1,1933189,train,Sandfly fever Naples phlebovirus
1,64296,train,Edge Hill virus
1,746543,train,Shimoni bat lyssavirus
1,2169991,train,Argentinian mammarenavirus
1,138949,train,Enterovirus B
1,3051624,train,Carnivore amdoparvovirus 1
1,138951,test,Enterovirus D
1,1972588,train,Klamath tupavirus
1,3052684,train,Punta Toro phlebovirus
1,1239567,test,Mamastrovirus 3
1,686984,train,Sapelovirus A
1,39720,train,Walleye dermal sarcoma virus
1,3052396,train,Guama orthobunyavirus
1,183407,test,Rotavirus G
1,1972575,train,Piry vesiculovirus
1,3052613,train,Pegivirus I
1,28871,train,Taterapox virus
1,1933180,train,Anopheles A orthobunyavirus
1,3052390,train,California encephalitis orthobunyavirus
1,10359,train,Human betaherpesvirus 5
1,11034,train,Sindbis virus
1,1972579,test,Alagoas vesiculovirus
1,129875,train,Human mastadenovirus A
1,3052493,train,Puumala orthohantavirus
1,2025079,train,Torchivirus A
1,1891754,test,Bos taurus polyomavirus 1
1,3052374,train,Bertioga orthobunyavirus
1,1167696,train,Ikoma lyssavirus
1,11569,train,Thogoto thogotovirus
1,3052600,train,Sosuga pararubulavirus
1,162145,train,Human metapneumovirus
1,11021,train,Eastern equine encephalitis virus
1,3052372,train,Batama orthobunyavirus
1,3052727,train,Rotterdam reptarenavirus
1,129952,train,Bovine mastadenovirus C
1,11089,train,Yellow fever virus
1,3052538,test,Tamdy orthonairovirus
1,1803956,test,Parechovirus A
1,3052328,train,Tacaribe mammarenavirus
1,405554,train,White bream virus
1,2560315,train,Avian metaavulavirus 5
1,64292,train,Ntaya virus
1,3052449,train,Thimiri orthobunyavirus
1,38525,train,Avian metapneumovirus
1,59304,train,Una virus
1,11240,train,Phocine morbillivirus
1,1980456,train,Andes orthohantavirus
1,3052413,train,Madrid orthobunyavirus
1,3052231,train,Hepacivirus K
1,1891729,train,Mesocricetus auratus polyomavirus 1
1,2003650,train,Cosavirus D
1,2170203,train,Western chimpanzee simian foamy virus
1,3052479,train,Fusong orthohantavirus
1,694003,test,Betacoronavirus 1
1,11241,train,Rinderpest morbillivirus
1,11552,train,Influenza C virus
1,188763,train,Panine betaherpesvirus 2
1,10570,train,Alphapapillomavirus 12
1,129726,train,Pseudocowpox virus
1,1933191,train,Uukuniemi phlebovirus
1,10376,test,Human gammaherpesvirus 4
1,3052395,train,Guajara orthobunyavirus
1,11020,train,Barmah Forest virus
1,10258,train,Orf virus
1,3052534,train,Sakhalin orthonairovirus
1,3052676,train,Rift Valley fever phlebovirus
1,240426,test,Squirrelpox virus
1,154334,train,Macacine gammaherpesvirus 5
1,3052338,train,Quezon mobatvirus
1,11901,train,Bovine leukemia virus
1,129728,train,Parapoxvirus of red deer in New Zealand
1,3052485,train,Maporal orthohantavirus
1,3052408,test,Koongol orthobunyavirus
1,50292,train,Cercopithecine betaherpesvirus 5
1,44024,train,Kokobera virus
1,1300113,train,Anguillid perhabdovirus
1,147711,train,Rhinovirus A
1,3052470,test,Bayou orthohantavirus
1,11039,train,Western equine encephalitis virus
1,1891763,train,Human polyomavirus 2
1,3052393,train,Gamboa orthobunyavirus
1,1987125,train,Hepatovirus D
1,3052222,test,Ghanaian bat henipavirus
1,1511892,train,Adeno-associated dependoparvovirus B
1,693997,train,Alphacoronavirus 1
1,2170199,test,Rhesus macaque simian foamy virus
1,334212,train,Pipapillomavirus 1
1,3052499,train,Sin Nombre orthohantavirus
1,290028,test,Human coronavirus HKU1
1,3052418,train,Marituba orthobunyavirus
1,3052428,train,Oriboca orthobunyavirus
1,1239439,train,Avastrovirus 3
1,3052562,train,Porcine orthorubulavirus
1,1239572,train,Mamastrovirus 8
1,38837,train,Banzi virus
1,35612,train,Vesicular exanthema of swine virus
1,1002360,train,Drosophila immigrans sigmavirus
1,2003651,train,Cosavirus E
1,64284,train,Saboya virus
1,3052404,train,Kaeng Khoi orthobunyavirus
1,48543,train,Whataroa virus
1,12730,train,Human respirovirus 1
1,10255,train,Variola virus
1,12637,train,Dengue virus
1,10397,train,Tupaiid betaherpesvirus 1
1,12643,train,Ectromelia virus
1,109270,train,Equine foamy virus
1,306276,train,Yunnan orbivirus
1,2170196,train,Grivet simian foamy virus
1,3052501,test,Thailand orthohantavirus
1,10561,train,Xipapillomavirus 1
1,3052311,train,Latino mammarenavirus
1,3052616,train,Pestivirus E
1,1239569,train,Mamastrovirus 5
1,1821751,train,Cardiovirus C
1,36370,train,Jembrana disease virus
1,1986118,test,Ball python nidovirus 1
1,3052319,train,Merino Walk mammarenavirus
1,3052381,train,Bunyamwera orthobunyavirus
1,1985691,train,Rochambeau curiovirus
1,1330520,train,Enterovirus F
1,11723,train,Simian immunodeficiency virus
1,3052707,train,Carnivore protoparvovirus 1
1,3052593,train,Avian paraavulavirus 4
1,3052723,train,Golden reptarenavirus
1,3052444,train,Tacaiuma orthobunyavirus
1,3052498,train,Seoul orthohantavirus
1,3052518,train,Crimean-Congo hemorrhagic fever orthonairovirus
1,3052724,train,California reptarenavirus
1,11318,train,Dhori thogotovirus
1,1980918,train,Snakehead novirhabdovirus
1,1972568,train,Jurona vesiculovirus
1,194443,train,Primate T-lymphotropic virus 3
1,333919,train,Zetapapillomavirus 1
1,3241440,train,Porcine mastadenovirus C
1,28873,train,Camelpox virus
1,1985689,train,Iriri curiovirus
1,3052313,train,Loei River mammarenavirus
1,3052416,train,Manzanilla orthobunyavirus
1,1965093,test,Hedgehog coronavirus 1
1,3052601,test,Teviot pararubulavirus
1,104580,train,Kadipiro virus
1,3052397,train,Guaroa orthobunyavirus
1,35279,train,Meaban virus
1,3052717,train,Rodent protoparvovirus 1
1,11856,test,Squirrel monkey retrovirus
1,64312,train,Montana myotis leukoencephalitis virus
1,3052483,train,Khabarovsk orthohantavirus
1,694007,train,Tylonycteris bat coronavirus HKU4
1,3052431,train,Patois orthobunyavirus
1,1511891,train,Adeno-associated dependoparvovirus A
1,64299,train,Jutiapa virus
1,3052729,train,Bovine respirovirus 3
1,1891767,train,Macaca mulatta polyomavirus 1
1,3052305,train,Flexal mammarenavirus
1,3241441,train,Porcine mastadenovirus A
1,138184,test,Alcelaphine gammaherpesvirus 2
1,11757,train,Mouse mammary tumor virus
1,64295,train,Bouboui virus
1,3052342,train,Canine morbillivirus
1,40051,train,Bluetongue virus
1,106966,test,Enterovirus G
1,3052505,train,Marburg marburgvirus
1,3052476,train,Cano Delgadito orthohantavirus
1,47418,test,Phocid alphaherpesvirus 1
1,1987128,train,Hepatovirus G
1,201490,train,Equine encephalosis virus
1,10310,train,Human alphaherpesvirus 2
1,3052510,train,Hughes orthonairovirus
1,106331,train,Callitrichine gammaherpesvirus 3
1,1821749,train,Cardiovirus A
1,3052401,train,Kairi orthobunyavirus
1,3052296,train,Serra do Navio mammarenavirus
1,3052471,train,Bowe orthohantavirus
1,60875,train,Mucambo virus
1,12804,train,Puma lentivirus
1,1978537,train,Kern Canyon ledantevirus
1,3052315,train,Luna mammarenavirus
1,1159902,train,Common moorhen coronavirus HKU21
1,35258,train,Lambdapapillomavirus 2
1,2560317,train,Avian metaavulavirus 7
1,1159904,train,Night heron coronavirus HKU19
1,10398,train,Ovine gammaherpesvirus 2
1,129727,train,Bovine papular stomatitis virus
1,3052302,train,Chapare mammarenavirus
1,1978536,test,Nishimuro ledantevirus
1,1972580,train,Tupaia tupavirus
1,3052303,train,Lymphocytic choriomeningitis mammarenavirus
1,194441,train,Primate T-lymphotropic virus 2
1,10407,train,Hepatitis B virus
1,1987127,train,Hepatovirus F
1,3052329,train,Tamiami mammarenavirus
1,2003649,train,Cosavirus B
1,11855,train,Mason-Pfizer monkey virus
1,3052631,train,Phasi Charoen-like phasivirus
1,10381,train,Saimiriine gammaherpesvirus 2
1,1548713,train,Psittaciform 1 orthobornavirus
1,3052324,train,Pirital mammarenavirus
1,11976,train,Rabbit hemorrhagic disease virus
1,59380,train,Rice yellow stunt nucleorhabdovirus
1,11970,train,Woolly monkey sarcoma virus
1,82676,train,Omikronpapillomavirus 1
1,28304,test,Murid betaherpesvirus 2
1,1256869,train,Perch perhabdovirus
1,3052519,train,Hazara orthonairovirus
1,1913642,train,Mink coronavirus 1
1,3052212,train,Yichang insect goukovirus
1,2169685,train,Aalivirus A
1,3052235,train,Hepacivirus E
1,3052481,train,Jeju orthohantavirus
1,11840,train,Gibbon ape leukemia virus
1,130499,train,Bovine atadenovirus D
1,3052316,train,Lunk mammarenavirus
1,10243,train,Cowpox virus
1,1348384,train,Rotavirus H
1,3052720,test,Ungulate protoparvovirus 1
1,40060,train,Umatilla virus
1,80341,train,Equid alphaherpesvirus 3
1,1637496,train,Rotavirus I
1,144752,train,Allpahuayo mammarenavirus
1,3052478,test,Fugong orthohantavirus
1,1972578,train,New Jersey vesiculovirus
1,1985690,train,Itacaiunas curiovirus
1,1239437,train,Avastrovirus 1
1,12657,train,Equid gammaherpesvirus 2
1,40053,train,Corriparta virus
1,11673,train,Feline immunodeficiency virus
1,1933181,train,Alajuela orthobunyavirus
1,3052335,test,Laibin mobatvirus
1,1972564,train,American bat vesiculovirus
1,3052514,train,Dugbe orthonairovirus
1,10331,train,Equid alphaherpesvirus 4
1,10279,train,Molluscum contagiosum virus
1,1985688,train,Curionopolis curiovirus
1,3052605,train,Pegivirus F
1,3052437,train,Schmallenberg orthobunyavirus
1,108098,train,Human mastadenovirus B
1,10266,train,Sheeppox virus
1,1972570,test,Malpais Spring vesiculovirus
1,3052310,test,Lassa mammarenavirus
1,10406,test,Ground squirrel hepatitis virus
1,1511803,train,Passerivirus A
1,10335,test,Human alphaherpesvirus 3
1,3052452,train,Turlock orthobunyavirus
1,3052594,test,Avian paraavulavirus 3
1,1972581,train,Durham tupavirus
1,2560259,train,Achimota pararubulavirus 1
1,85708,train,Porcine circovirus 2
1,11137,train,Human coronavirus 229E
1,3052596,train,Tuhoko pararubulavirus 1
1,3052232,test,Hepacivirus F
1,40012,test,Saumarez Reef virus
1,356862,train,Peruvian horse sickness virus
1,3052588,train,Chilibre phlebovirus
1,129956,train,Murine mastadenovirus A
1,2560580,test,Mammalian orthorubulavirus 5
1,3052298,train,Bear Canyon mammarenavirus
1,3052495,train,Rockport orthohantavirus
1,3052523,train,Kasokero orthonairovirus
1,2560260,train,Achimota pararubulavirus 2
1,3052612,train,Pegivirus G
1,36427,train,Rotavirus C
1,40537,test,Epsilonpapillomavirus 1
1,10567,train,Iotapapillomavirus 1
1,1678144,train,Orthohepevirus B
1,3052733,train,Porcine respirovirus 1
1,40052,train,Changuinola virus
1,1987018,train,Ekpoma 1 tibrovirus
1,1986112,train,Bovine nidovirus 1
1,3052314,train,Lujo mammarenavirus
1,1308859,train,Drosophila affinis sigmavirus
1,1891730,test,Mus musculus polyomavirus 1
1,11665,train,Equine infectious anemia virus
1,10623,test,Kappapapillomavirus 2
1,1481452,test,Mosavirus A
1,1511779,test,Mischivirus A
1,3052189,train,Primate erythroparvovirus 1
1,48981,train,Drosophila X virus
1,3052306,train,Gairo mammarenavirus
1,1603962,train,Rabovirus A
1,38804,test,Yaba monkey tumor virus
1,138948,train,Enterovirus A
1,365327,train,Cervid alphaherpesvirus 2
1,2031165,train,Parechovirus C
1,1146873,train,Murine mastadenovirus B
1,40057,train,Lebombo virus
1,3052322,train,Oliveros mammarenavirus
1,3052202,train,Ferak feravirus
1,1986113,train,Chinook salmon nidovirus 1
1,2560319,train,Avian orthoavulavirus 1
1,3052331,train,Whitewater Arroyo mammarenavirus
1,1897087,train,Mammalian 2 orthobornavirus
1,3052330,test,Wenzhou mammarenavirus
1,3052405,train,Main Drain orthobunyavirus
1,3052337,train,Nova mobatvirus
1,62352,train,Eyach virus
1,1985983,train,Avisivirus C
1,1978534,train,Barur ledantevirus
1,694009,train,Severe acute respiratory syndrome-related coronavirus
1,11746,train,Jaagsiekte sheep retrovirus
1,11657,train,Bovine immunodeficiency virus
1,129955,train,Equine mastadenovirus B
1,338781,train,Micromonas pusilla reovirus
1,3052237,train,Hepacivirus G
1,28874,train,Volepox virus
1,1548722,train,Waterbird 1 orthobornavirus
1,1914568,train,Potamipivirus A
1,64894,train,Phnom Penh bat virus
1,3052525,train,Dera Ghazi Khan orthonairovirus
1,2169971,train,Visna-maedi virus
1,10371,train,Equid gammaherpesvirus 5
1,1987123,train,Hepatovirus B
1,3052537,train,Thiafora orthonairovirus
1,53182,train,Feline foamy virus
1,3052230,test,Hepacivirus C
1,1972620,train,Marco hapavirus
1,1239577,train,Mamastrovirus 13
1,3052788,train,Imjin thottimvirus
1,1978538,train,Keuraliba ledantevirus
1,3052598,train,Tuhoko pararubulavirus 3
1,3052239,train,Hepacivirus L
1,1987130,train,Hepatovirus I
1,95342,train,Sapporo virus
1,3052764,train,Rice hoja blanca tenuivirus
1,10537,test,Canine mastadenovirus A
1,1891770,train,Mus musculus polyomavirus 2
1,1511772,test,Avisivirus A
1,334205,train,Nupapillomavirus 1
1,10366,train,Murid betaherpesvirus 1
1,3052503,test,Tula orthohantavirus
1,1239573,test,Mamastrovirus 9
1,1431460,train,Hunnivirus A
1,3052233,train,Hepacivirus H
1,1980917,train,Salmonid novirhabdovirus
1,64285,train,Rio Bravo virus
1,693066,train,Bovine rhinitis B virus
1,3052529,train,Nairobi sheep disease orthonairovirus
1,2560318,train,Avian metaavulavirus 8
1,1244203,train,Bat coronavirus HKU10
1,694006,train,Rousettus bat coronavirus HKU9
1,1972566,train,Radi vesiculovirus
1,3052026,train,Carnivore bocaparvovirus 1
1,242710,train,Tree shrew mastadenovirus A
1,1972616,test,Kamese hapavirus
1,519014,train,Aquareovirus G
1,277944,train,Human coronavirus NL63
1,3052486,train,Montano orthohantavirus
1,10991,train,Rice dwarf virus
1,948741,train,Drosophila obscura sigmavirus
1,130327,train,Ovine atadenovirus D
1,694015,train,Beluga whale coronavirus SW1
1,170325,train,Canid alphaherpesvirus 1
1,2560525,train,Human orthorubulavirus 2
1,1714619,test,Mammalian 1 orthobornavirus
1,11768,train,Feline leukemia virus
1,2560526,train,Human orthorubulavirus 4
1,3052242,train,Kibale herbevirus
1,40058,test,Orungo virus
1,3052626,train,Pestivirus B
1,698672,train,Moussa virus
1,1914574,test,Limnipivirus A
1,35269,train,Woodchuck hepatitis virus
1,3052210,test,Cumuto goukovirus
1,10256,train,Raccoonpox virus
1,129950,train,Bovine mastadenovirus B
1,11216,train,Human respirovirus 3
1,1881950,train,Elapid 1 orthobornavirus
1,42475,train,Rice ragged stunt virus
1,694008,train,Pipistrellus bat coronavirus HKU5
1,3052477,train,Dobrava-Belgrade orthohantavirus
1,3052473,train,Cao Bang orthohantavirus
1,10271,train,Rabbit fibroma virus
1,1159907,test,White-eye coronavirus HKU16
1,3052748,train,Insect shangavirus
1,2170060,train,Zegla orthobunyavirus
1,1678146,train,Orthohepevirus D
1,1679172,train,Chobar Gorge virus
1,3052480,train,Hantaan orthohantavirus
1,1972574,test,Maraba vesiculovirus
1,40067,train,Wad Medani virus
1,226613,train,Reptilian orthoreovirus
1,72149,test,Aichivirus A
1,686985,train,Sapelovirus B
1,59816,train,Yellowtail ascites virus
1,3052474,train,Choclo orthohantavirus
1,335100,train,Rotavirus D
1,273810,train,Eriocheir sinensis reovirus
1,10497,train,African swine fever virus
1,10987,train,Wound tumor virus
1,104395,train,Rabbit picobirnavirus
1,209854,train,Maize fine streak nucleorhabdovirus
1,2560310,train,Avian metaavulavirus 11
1,1972576,train,Chandipura vesiculovirus
1,745716,test,Coffee ringspot dichorhavirus
1,10326,train,Equid alphaherpesvirus 1
1,3052321,train,Okahandja mammarenavirus
1,693998,train,Rhinolophus bat coronavirus HKU2
1,1155188,train,Bovine rhinitis A virus
1,1985698,test,Lettuce big-vein associated varicosavirus
1,2509284,test,Fly wubeivirus
1,10244,train,Monkeypox virus
1,3052516,train,Estero Real orthonairovirus
1,2560602,train,Mumps orthorubulavirus
1,2003499,test,Mischivirus C
1,3052524,train,Keterah orthonairovirus
1,11809,train,Moloney murine sarcoma virus
1,3052718,train,Rodent protoparvovirus 2
1,1002359,train,Drosophila ananassae sigmavirus
1,3052323,train,Paraguayan mammarenavirus
1,1972572,train,Cocal vesiculovirus
1,59509,train,Lumpy skin disease virus
1,3052633,train,Wutai mosquito phasivirus
1,11041,train,Rubella virus
1,64300,train,Modoc virus
1,688436,train,Quaranfil quaranjavirus
1,3052482,train,Kenkeme orthohantavirus
1,3052484,train,Luxi orthohantavirus
1,1972595,test,Kimberley ephemerovirus
1,186805,train,Goatpox virus
1,1978544,train,Oita ledantevirus
1,10276,train,Swinepox virus
1,10317,train,Cercopithecine alphaherpesvirus 2
1,10564,train,Deltapapillomavirus 2
1,3052211,train,Gouleako goukovirus
1,33724,train,Nilaparvata lugens reovirus
1,1335626,train,Middle East respiratory syndrome-related coronavirus
1,3052614,test,Pegivirus K
1,2170030,train,Newbury 1 virus
1,694005,test,Murine coronavirus
1,3052299,test,Brazilian mammarenavirus
1,2040663,train,Enterovirus I
1,1972621,train,Mosqueiro hapavirus
1,1678145,test,Orthohepevirus C
1,3052241,train,Herbert herbevirus
1,3052225,train,Nipah henipavirus
1,694014,test,Avian coronavirus
1,1986959,train,Aichivirus F
1,691956,train,Avihepatovirus A
1,3052618,train,Pestivirus I
1,1980916,train,Piscine novirhabdovirus
1,3052344,train,Cetacean morbillivirus
1,3052595,train,Tuhoko pararubulavirus 2
1,35252,train,Alcelaphine gammaherpesvirus 1
1,341721,train,Aedes pseudoscutellaris reovirus
1,3052763,train,Rice stripe tenuivirus
1,1239566,test,Mamastrovirus 2
1,488317,train,Eggplant mottled dwarf nucleorhabdovirus
1,10345,train,Suid alphaherpesvirus 1
1,3052343,train,Small ruminant morbillivirus
1,114424,test,Ovine mastadenovirus A
1,329862,train,Equine torovirus
1,3052327,train,Solwezi mammarenavirus
1,35244,train,Bovine alphaherpesvirus 5
1,3052325,train,Mobala mammarenavirus
1,1980915,train,Hirame novirhabdovirus
1,2560316,test,Avian metaavulavirus 6
1,33756,train,European brown hare syndrome virus
1,47929,train,Macacine betaherpesvirus 3
1,1239574,test,Mamastrovirus 10
1,2031166,train,Parechovirus D
1,1511776,train,Gallivirus A
1,1972577,train,Indiana vesiculovirus
1,33706,train,Caviid betaherpesvirus 2
1,1987019,train,Ekpoma 2 tibrovirus
1,219584,train,Pike fry sprivivirus
1,3052205,train,Reptilian ferlavirus
1,1986960,train,Ampivirus A
1,3052475,train,Dabieshan orthohantavirus
1,11864,train,Avian leukosis virus
1,205896,train,Cypovirus 2
1,40050,train,African horse sickness virus
1,1985706,train,Strawberry crinkle cytorhabdovirus
1,1972593,train,Bovine fever ephemerovirus
1,246280,train,Liao ning virus
1,1972623,train,Ngaingan hapavirus
1,3052789,train,Thottopalayam thottimvirus
1,40054,train,Epizootic hemorrhagic disease virus
1,390157,test,Senecavirus A
1,237020,train,Porcine torovirus
1,1972613,train,Gray Lodge hapavirus
1,152177,train,Orchid fleck dichorhavirus
1,3052731,train,Murine respirovirus
1,205910,train,Cypovirus 15
1,1298633,train,Aichivirus C
1,55744,train,Equid alphaherpesvirus 9
1,1548720,train,Passeriform 1 orthobornavirus
1,3052472,train,Bruges orthohantavirus
1,40056,train,Eubenangee virus
1,1985699,test,Barley yellow striate mosaic cytorhabdovirus
1,1978533,test,Nkolbisson ledantevirus
1,1511805,train,Rosavirus A
1,1985704,train,Northern cereal mosaic cytorhabdovirus
1,1965074,train,Fathead minnow nidovirus 1
1,1159908,train,Wigeon coronavirus HKU20
1,1987126,train,Hepatovirus E
1,3052610,train,Pegivirus A
1,2560321,train,Avian orthoavulavirus 13
1,340907,test,Papiine alphaherpesvirus 2
1,3052448,test,Tete orthobunyavirus
1,2560326,train,Avian orthoavulavirus 9
1,1803957,train,Parechovirus B
1,47000,train,Equine rhinitis A virus
1,1972569,train,Perinet vesiculovirus
1,3052496,test,Sangassou orthohantavirus
1,1978545,train,Fikirini ledantevirus
1,195059,train,Datura yellow vein nucleorhabdovirus
1,1972622,test,Mossuril hapavirus
1,35243,train,Ateline alphaherpesvirus 1
1,2749935,train,Taro vein chlorosis nucleorhabdovirus
1,10334,train,Felid alphaherpesvirus 1
1,1972683,test,Arboretum almendravirus
1,3052300,train,Cali mammarenavirus
1,3052559,test,Mapuera orthorubulavirus
1,204269,train,Great Island virus
1,40065,train,Chenuda virus
1,1511084,train,Influenza D virus
1,194965,train,Aichivirus B
1,693999,train,Scotophilus bat coronavirus 512
1,10320,train,Bovine alphaherpesvirus 1
1,3052224,train,Mojiang henipavirus
1,1978542,train,Mount Elgon bat ledantevirus
1,1986958,test,Aichivirus E
1,207343,train,Bovine foamy virus
1,99000,train,Tanapox virus
1,1972597,train,Yata ephemerovirus
1,1972571,train,Carajas vesiculovirus
1,1972637,train,Colocasia bobone disease-associated cytorhabdovirus
1,137443,train,Macropodid alphaherpesvirus 1
1,311229,train,Mycoreovirus 3
1,1978540,test,Le Dantec ledantevirus
1,2560340,train,Bat mumps orthorubulavirus
1,10273,train,Myxoma virus
1,1978535,train,Fukuoka ledantevirus
1,195060,test,Potato yellow dwarf nucleorhabdovirus
1,10372,train,Human betaherpesvirus 7
1,1987129,train,Hepatovirus H
1,3052627,train,Badu phasivirus
1,1978543,test,Kumasi ledantevirus
1,3052625,train,Pestivirus C
1,104581,train,St Croix River virus
1,2499620,train,Alphaarterivirus equid
1,130309,train,Human mastadenovirus F
1,39637,train,Equid alphaherpesvirus 8
1,3052223,train,Hendra henipavirus
1,1884453,train,Reptile sunshinevirus 1
1,2499677,train,Kappaarterivirus wobum
1,118140,train,Teschovirus A
1,10990,train,Rice black streaked dwarf virus
1,79891,train,Cervid alphaherpesvirus 1
1,3052599,train,Menangle pararubulavirus
1,56094,test,Aquareovirus A
1,1985696,train,Sena Madureira sripuvirus
1,3052609,train,Pegivirus J
1,1978539,test,Yongjia ledantevirus
1,3052602,train,Tioman pararubulavirus
1,381543,train,Salmon aquaparamyxovirus
1,10986,train,Rice gall dwarf virus
1,12110,train,Foot-and-mouth disease virus
1,696863,train,Carp sprivivirus
1,28876,train,Rotavirus B
