iteration,taxid,set,latestsppname,LatestSppName
1,138950,test,Enterovirus C,Enterovirus C
1,138951,test,Enterovirus D,Enterovirus D
1,106966,test,Enterovirus G,Enterovirus G
1,40537,test,Epsilonpapillomavirus 1,Epsilonpapillomavirus 1
1,11978,test,Feline calicivirus,Feline calicivirus
1,2509284,test,Fly wubeivirus,Fly wubeivirus
1,1933185,test,Frijoles phlebovirus,Frijoles phlebovirus
1,3052478,test,Fugong orthohantavirus,Fugong orthohantavirus
1,333929,test,Gammapapillomavirus 3,Gammapapillomavirus 3
1,59300,test,Getah virus,Getah virus
1,3052222,test,Ghanaian bat henipavirus,Ghanaian bat henipavirus
1,10406,test,Ground squirrel hepatitis virus,Ground squirrel hepatitis virus
1,1965093,test,Hedgehog coronavirus 1,Hedgehog coronavirus 1
1,3052230,test,Hepacivirus C,Hepacivirus C
1,3052232,test,Hepacivirus F,Hepacivirus F
1,10335,test,Human alphaherpesvirus 3,Human alphaherpesvirus 3
1,290028,test,Human coronavirus HKU1,Human coronavirus HKU1
1,10376,test,Human gammaherpesvirus 4,Human gammaherpesvirus 4
1,11002,test,Infectious pancreatic necrosis virus,Infectious pancreatic necrosis virus
1,64310,test,Kadam virus,Kadam virus
1,1972616,test,Kamese hapavirus,Kamese hapavirus
1,122291,test,Kappapapillomavirus 1,Kappapapillomavirus 1
1,10623,test,Kappapapillomavirus 2,Kappapapillomavirus 2
1,1972595,test,Kimberley ephemerovirus,Kimberley ephemerovirus
1,1978546,test,Kolente ledantevirus,Kolente ledantevirus
1,3052408,test,Koongol orthobunyavirus,Koongol orthobunyavirus
1,44025,test,Koutango virus,Koutango virus
1,1978543,test,Kumasi ledantevirus,Kumasi ledantevirus
1,1755590,test,Kunsagivirus A,Kunsagivirus A
1,3052335,test,Laibin mobatvirus,Laibin mobatvirus
1,3052310,test,Lassa mammarenavirus,Lassa mammarenavirus
1,1978540,test,Le Dantec ledantevirus,Le Dantec ledantevirus
1,1985698,test,Lettuce big-vein associated varicosavirus,Lettuce big-vein associated varicosavirus
1,1914574,test,Limnipivirus A,Limnipivirus A
1,1914575,test,Limnipivirus B,Limnipivirus B
1,11086,test,Louping ill virus,Louping ill virus
1,45455,test,Macacine gammaherpesvirus 4,Macacine gammaherpesvirus 4
1,1972570,test,Malpais Spring vesiculovirus,Malpais Spring vesiculovirus
1,1239574,test,Mamastrovirus 10,Mamastrovirus 10
1,1239566,test,Mamastrovirus 2,Mamastrovirus 2
1,1239567,test,Mamastrovirus 3,Mamastrovirus 3
1,1239573,test,Mamastrovirus 9,Mamastrovirus 9
1,1714619,test,Mammalian 1 orthobornavirus,Mammalian 1 orthobornavirus
1,2560580,test,Mammalian orthorubulavirus 5,Mammalian orthorubulavirus 5
1,3052559,test,Mapuera orthorubulavirus,Mapuera orthorubulavirus
1,1972574,test,Maraba vesiculovirus,Maraba vesiculovirus
1,59301,test,Mayaro virus,Mayaro virus
1,11023,test,Middelburg virus,Middelburg virus
1,1511779,test,Mischivirus A,Mischivirus A
1,2003499,test,Mischivirus C,Mischivirus C
1,1481452,test,Mosavirus A,Mosavirus A
1,1972622,test,Mossuril hapavirus,Mossuril hapavirus
1,28304,test,Murid betaherpesvirus 2,Murid betaherpesvirus 2
1,694005,test,Murine coronavirus,Murine coronavirus
1,1891730,test,Mus musculus polyomavirus 1,Mus musculus polyomavirus 1
1,1978536,test,Nishimuro ledantevirus,Nishimuro ledantevirus
1,1978533,test,Nkolbisson ledantevirus,Nkolbisson ledantevirus
1,11983,test,Norwalk virus,Norwalk virus
1,3052426,test,Nyando orthobunyavirus,Nyando orthobunyavirus
1,3052429,test,Oropouche orthobunyavirus,Oropouche orthobunyavirus
1,1678143,test,Orthohepevirus A,Orthohepevirus A
1,1678145,test,Orthohepevirus C,Orthohepevirus C
1,40058,test,Orungo virus,Orungo virus
1,114424,test,Ovine mastadenovirus A,Ovine mastadenovirus A
1,340907,test,Papiine alphaherpesvirus 2,Papiine alphaherpesvirus 2
1,1803956,test,Parechovirus A,Parechovirus A
1,3052607,test,Pegivirus D,Pegivirus D
1,3052614,test,Pegivirus K,Pegivirus K
1,3052620,test,Pestivirus H,Pestivirus H
1,47418,test,Phocid alphaherpesvirus 1,Phocid alphaherpesvirus 1
1,195060,test,Potato yellow dwarf nucleorhabdovirus,Potato yellow dwarf nucleorhabdovirus
1,11083,test,Powassan virus,Powassan virus
1,2170199,test,Rhesus macaque simian foamy virus,Rhesus macaque simian foamy virus
1,147712,test,Rhinovirus B,Rhinovirus B
1,332097,test,Rio Negro virus,Rio Negro virus
1,183407,test,Rotavirus G,Rotavirus G
1,84589,test,Salmon pancreas disease virus,Salmon pancreas disease virus
1,3052496,test,Sangassou orthohantavirus,Sangassou orthohantavirus
1,40012,test,Saumarez Reef virus,Saumarez Reef virus
1,390157,test,Senecavirus A,Senecavirus A
1,11856,test,Squirrel monkey retrovirus,Squirrel monkey retrovirus
1,240426,test,Squirrelpox virus,Squirrelpox virus
1,1985697,test,Sripur sripuvirus,Sripur sripuvirus
1,1987013,test,Sweetwater Branch tibrovirus,Sweetwater Branch tibrovirus
1,186541,test,Tai Forest ebolavirus,Tai Forest ebolavirus
1,3052538,test,Tamdy orthonairovirus,Tamdy orthonairovirus
1,3052448,test,Tete orthobunyavirus,Tete orthobunyavirus
1,3052601,test,Teviot pararubulavirus,Teviot pararubulavirus
1,3052501,test,Thailand orthohantavirus,Thailand orthohantavirus
1,3052503,test,Tula orthohantavirus,Tula orthohantavirus
1,3052720,test,Ungulate protoparvovirus 1,Ungulate protoparvovirus 1
1,3052330,test,Wenzhou mammarenavirus,Wenzhou mammarenavirus
1,1159907,test,White-eye coronavirus HKU16,White-eye coronavirus HKU16
1,1972626,test,Wongabel hapavirus,Wongabel hapavirus
1,1978541,test,Wuhan ledantevirus,Wuhan ledantevirus
1,38804,test,Yaba monkey tumor virus,Yaba monkey tumor virus
1,1978539,test,Yongjia ledantevirus,Yongjia ledantevirus
1,2169685,train,Aalivirus A,Aalivirus A
1,2560259,train,Achimota pararubulavirus 1,Achimota pararubulavirus 1
1,2560260,train,Achimota pararubulavirus 2,Achimota pararubulavirus 2
1,1972589,train,Adelaide River ephemerovirus,Adelaide River ephemerovirus
1,1511891,train,Adeno-associated dependoparvovirus A,Adeno-associated dependoparvovirus A
1,1511892,train,Adeno-associated dependoparvovirus B,Adeno-associated dependoparvovirus B
1,341721,train,Aedes pseudoscutellaris reovirus,Aedes pseudoscutellaris reovirus
1,40050,train,African horse sickness virus,African horse sickness virus
1,10497,train,African swine fever virus,African swine fever virus
1,194965,train,Aichivirus B,Aichivirus B
1,1298633,train,Aichivirus C,Aichivirus C
1,1897731,train,Aichivirus D,Aichivirus D
1,1986959,train,Aichivirus F,Aichivirus F
1,1933178,train,Akabane orthobunyavirus,Akabane orthobunyavirus
1,1933181,train,Alajuela orthobunyavirus,Alajuela orthobunyavirus
1,35252,train,Alcelaphine gammaherpesvirus 1,Alcelaphine gammaherpesvirus 1
1,1972639,train,Alfalfa dwarf cytorhabdovirus,Alfalfa dwarf cytorhabdovirus
1,144752,train,Allpahuayo mammarenavirus,Allpahuayo mammarenavirus
1,1985693,train,Almpiwar sripuvirus,Almpiwar sripuvirus
1,2499620,train,Alphaarterivirus equid,Alphaarterivirus equid
1,693997,train,Alphacoronavirus 1,Alphacoronavirus 1
1,337048,train,Alphapapillomavirus 1,Alphapapillomavirus 1
1,333754,train,Alphapapillomavirus 10,Alphapapillomavirus 10
1,337049,train,Alphapapillomavirus 11,Alphapapillomavirus 11
1,10570,train,Alphapapillomavirus 12,Alphapapillomavirus 12
1,931244,train,Alphapapillomavirus 14,Alphapapillomavirus 14
1,337039,train,Alphapapillomavirus 2,Alphapapillomavirus 2
1,337044,train,Alphapapillomavirus 5,Alphapapillomavirus 5
1,337050,train,Alphapapillomavirus 6,Alphapapillomavirus 6
1,333757,train,Alphapapillomavirus 8,Alphapapillomavirus 8
1,337041,train,Alphapapillomavirus 9,Alphapapillomavirus 9
1,1972564,train,American bat vesiculovirus,American bat vesiculovirus
1,1986960,train,Ampivirus A,Ampivirus A
1,1980456,train,Andes orthohantavirus,Andes orthohantavirus
1,1300113,train,Anguillid perhabdovirus,Anguillid perhabdovirus
1,1933180,train,Anopheles A orthobunyavirus,Anopheles A orthobunyavirus
1,64280,train,Apoi virus,Apoi virus
1,57747,train,Aquareovirus B,Aquareovirus B
1,185782,train,Aquareovirus C,Aquareovirus C
1,2083444,train,Aquareovirus E,Aquareovirus E
1,519014,train,Aquareovirus G,Aquareovirus G
1,211977,train,Aravan lyssavirus,Aravan lyssavirus
1,2169991,train,Argentinian mammarenavirus,Argentinian mammarenavirus
1,64303,train,Aroa virus,Aroa virus
1,35243,train,Ateline alphaherpesvirus 1,Ateline alphaherpesvirus 1
1,44158,train,Aura virus,Aura virus
1,90961,train,Australian bat lyssavirus,Australian bat lyssavirus
1,1239437,train,Avastrovirus 1,Avastrovirus 1
1,1239438,train,Avastrovirus 2,Avastrovirus 2
1,1239439,train,Avastrovirus 3,Avastrovirus 3
1,11864,train,Avian leukosis virus,Avian leukosis virus
1,2560309,train,Avian metaavulavirus 10,Avian metaavulavirus 10
1,2560310,train,Avian metaavulavirus 11,Avian metaavulavirus 11
1,2560313,train,Avian metaavulavirus 2,Avian metaavulavirus 2
1,2560315,train,Avian metaavulavirus 5,Avian metaavulavirus 5
1,2560317,train,Avian metaavulavirus 7,Avian metaavulavirus 7
1,2560318,train,Avian metaavulavirus 8,Avian metaavulavirus 8
1,38525,train,Avian metapneumovirus,Avian metapneumovirus
1,2560319,train,Avian orthoavulavirus 1,Avian orthoavulavirus 1
1,2560320,train,Avian orthoavulavirus 12,Avian orthoavulavirus 12
1,2560321,train,Avian orthoavulavirus 13,Avian orthoavulavirus 13
1,2560326,train,Avian orthoavulavirus 9,Avian orthoavulavirus 9
1,38170,train,Avian orthoreovirus,Avian orthoreovirus
1,3052593,train,Avian paraavulavirus 4,Avian paraavulavirus 4
1,691956,train,Avihepatovirus A,Avihepatovirus A
1,1985982,train,Avisivirus B,Avisivirus B
1,1985983,train,Avisivirus C,Avisivirus C
1,75888,train,Baboon orthoreovirus,Baboon orthoreovirus
1,3052627,train,Badu phasivirus,Badu phasivirus
1,64290,train,Bagaza virus,Bagaza virus
1,77763,train,Banna virus,Banna virus
1,38837,train,Banzi virus,Banzi virus
1,11020,train,Barmah Forest virus,Barmah Forest virus
1,1978534,train,Barur ledantevirus,Barur ledantevirus
1,1913643,train,Bat coronavirus CDPHE15,Bat coronavirus CDPHE15
1,1244203,train,Bat coronavirus HKU10,Bat coronavirus HKU10
1,2560340,train,Bat mumps orthorubulavirus,Bat mumps orthorubulavirus
1,3052372,train,Batama orthobunyavirus,Batama orthobunyavirus
1,3052298,train,Bear Canyon mammarenavirus,Bear Canyon mammarenavirus
1,59305,train,Bebaru virus,Bebaru virus
1,694015,train,Beluga whale coronavirus SW1,Beluga whale coronavirus SW1
1,1972594,train,Berrimah ephemerovirus,Berrimah ephemerovirus
1,3052374,train,Bertioga orthobunyavirus,Bertioga orthobunyavirus
1,2499930,train,Betaarterivirus chinrav 1,Betaarterivirus chinrav 1
1,2499680,train,Betaarterivirus suid 1,Betaarterivirus suid 1
1,2499685,train,Betaarterivirus suid 2,Betaarterivirus suid 2
1,337051,train,Betapapillomavirus 1,Betapapillomavirus 1
1,333924,train,Betapapillomavirus 2,Betapapillomavirus 2
1,334207,train,Betapapillomavirus 3,Betapapillomavirus 3
1,334208,train,Betapapillomavirus 4,Betapapillomavirus 4
1,334209,train,Betapapillomavirus 5,Betapapillomavirus 5
1,1933263,train,Bimiti orthobunyavirus,Bimiti orthobunyavirus
1,40051,train,Bluetongue virus,Bluetongue virus
1,1072176,train,Bokeloh bat lyssavirus,Bokeloh bat lyssavirus
1,64295,train,Bouboui virus,Bouboui virus
1,10320,train,Bovine alphaherpesvirus 1,Bovine alphaherpesvirus 1
1,35244,train,Bovine alphaherpesvirus 5,Bovine alphaherpesvirus 5
1,130499,train,Bovine atadenovirus D,Bovine atadenovirus D
1,1972593,train,Bovine fever ephemerovirus,Bovine fever ephemerovirus
1,207343,train,Bovine foamy virus,Bovine foamy virus
1,10385,train,Bovine gammaherpesvirus 4,Bovine gammaherpesvirus 4
1,11657,train,Bovine immunodeficiency virus,Bovine immunodeficiency virus
1,11901,train,Bovine leukemia virus,Bovine leukemia virus
1,129953,train,Bovine mastadenovirus A,Bovine mastadenovirus A
1,129950,train,Bovine mastadenovirus B,Bovine mastadenovirus B
1,129952,train,Bovine mastadenovirus C,Bovine mastadenovirus C
1,1986112,train,Bovine nidovirus 1,Bovine nidovirus 1
1,129727,train,Bovine papular stomatitis virus,Bovine papular stomatitis virus
1,3052729,train,Bovine respirovirus 3,Bovine respirovirus 3
1,1155188,train,Bovine rhinitis A virus,Bovine rhinitis A virus
1,693066,train,Bovine rhinitis B virus,Bovine rhinitis B virus
1,74501,train,Bovine torovirus,Bovine torovirus
1,3052471,train,Bowe orthohantavirus,Bowe orthohantavirus
1,3052472,train,Bruges orthohantavirus,Bruges orthohantavirus
1,202910,train,Bubaline alphaherpesvirus 1,Bubaline alphaherpesvirus 1
1,3052637,train,Bujaru phlebovirus,Bujaru phlebovirus
1,574549,train,Bulbul coronavirus HKU11,Bulbul coronavirus HKU11
1,565995,train,Bundibugyo ebolavirus,Bundibugyo ebolavirus
1,3052381,train,Bunyamwera orthobunyavirus,Bunyamwera orthobunyavirus
1,60879,train,Cabassou virus,Cabassou virus
1,64305,train,Cacipacore virus,Cacipacore virus
1,1330068,train,Cadicivirus A,Cadicivirus A
1,3052300,train,Cali mammarenavirus,Cali mammarenavirus
1,3052390,train,California encephalitis orthobunyavirus,California encephalitis orthobunyavirus
1,3052724,train,California reptarenavirus,California reptarenavirus
1,106331,train,Callitrichine gammaherpesvirus 3,Callitrichine gammaherpesvirus 3
1,28873,train,Camelpox virus,Camelpox virus
1,3052640,train,Candiru phlebovirus,Candiru phlebovirus
1,170325,train,Canid alphaherpesvirus 1,Canid alphaherpesvirus 1
1,3052342,train,Canine morbillivirus,Canine morbillivirus
1,3052476,train,Cano Delgadito orthohantavirus,Cano Delgadito orthohantavirus
1,3052473,train,Cao Bang orthohantavirus,Cao Bang orthohantavirus
1,11660,train,Caprine arthritis encephalitis virus,Caprine arthritis encephalitis virus
1,1972571,train,Carajas vesiculovirus,Carajas vesiculovirus
1,3052387,train,Caraparu orthobunyavirus,Caraparu orthobunyavirus
1,1821749,train,Cardiovirus A,Cardiovirus A
1,1821751,train,Cardiovirus C,Cardiovirus C
1,3051624,train,Carnivore amdoparvovirus 1,Carnivore amdoparvovirus 1
1,3052026,train,Carnivore bocaparvovirus 1,Carnivore bocaparvovirus 1
1,3052707,train,Carnivore protoparvovirus 1,Carnivore protoparvovirus 1
1,696863,train,Carp sprivivirus,Carp sprivivirus
1,3052389,train,Catu orthobunyavirus,Catu orthobunyavirus
1,33706,train,Caviid betaherpesvirus 2,Caviid betaherpesvirus 2
1,3052221,train,Cedar henipavirus,Cedar henipavirus
1,10317,train,Cercopithecine alphaherpesvirus 2,Cercopithecine alphaherpesvirus 2
1,35246,train,Cercopithecine alphaherpesvirus 9,Cercopithecine alphaherpesvirus 9
1,50292,train,Cercopithecine betaherpesvirus 5,Cercopithecine betaherpesvirus 5
1,79891,train,Cervid alphaherpesvirus 1,Cervid alphaherpesvirus 1
1,365327,train,Cervid alphaherpesvirus 2,Cervid alphaherpesvirus 2
1,3052344,train,Cetacean morbillivirus,Cetacean morbillivirus
1,1985694,train,Chaco sripuvirus,Chaco sripuvirus
1,1972576,train,Chandipura vesiculovirus,Chandipura vesiculovirus
1,40052,train,Changuinola virus,Changuinola virus
1,3052302,train,Chapare mammarenavirus,Chapare mammarenavirus
1,40065,train,Chenuda virus,Chenuda virus
1,3052588,train,Chilibre phlebovirus,Chilibre phlebovirus
1,1986113,train,Chinook salmon nidovirus 1,Chinook salmon nidovirus 1
1,1679172,train,Chobar Gorge virus,Chobar Gorge virus
1,3052474,train,Choclo orthohantavirus,Choclo orthohantavirus
1,1972586,train,Coastal Plains tibrovirus,Coastal Plains tibrovirus
1,1972572,train,Cocal vesiculovirus,Cocal vesiculovirus
1,1972637,train,Colocasia bobone disease-associated cytorhabdovirus,Colocasia bobone disease-associated cytorhabdovirus
1,46839,train,Colorado tick fever virus,Colorado tick fever virus
1,1159902,train,Common moorhen coronavirus HKU21,Common moorhen coronavirus HKU21
1,1965089,train,Coronavirus HKU15,Coronavirus HKU15
1,40053,train,Corriparta virus,Corriparta virus
1,1330491,train,Cosavirus A,Cosavirus A
1,2003649,train,Cosavirus B,Cosavirus B
1,2003650,train,Cosavirus D,Cosavirus D
1,2003651,train,Cosavirus E,Cosavirus E
1,2003652,train,Cosavirus F,Cosavirus F
1,10243,train,Cowpox virus,Cowpox virus
1,3052518,train,Crimean-Congo hemorrhagic fever orthonairovirus,Crimean-Congo hemorrhagic fever orthonairovirus
1,1985688,train,Curionopolis curiovirus,Curionopolis curiovirus
1,205895,train,Cypovirus 1,Cypovirus 1
1,205908,train,Cypovirus 14,Cypovirus 14
1,205910,train,Cypovirus 15,Cypovirus 15
1,205896,train,Cypovirus 2,Cypovirus 2
1,205899,train,Cypovirus 5,Cypovirus 5
1,3052475,train,Dabieshan orthohantavirus,Dabieshan orthohantavirus
1,195059,train,Datura yellow vein nucleorhabdovirus,Datura yellow vein nucleorhabdovirus
1,2499622,train,Deltaarterivirus hemfev,Deltaarterivirus hemfev
1,10565,train,Deltapapillomavirus 1,Deltapapillomavirus 1
1,10564,train,Deltapapillomavirus 2,Deltapapillomavirus 2
1,56144,train,Deltapapillomavirus 3,Deltapapillomavirus 3
1,337052,train,Deltapapillomavirus 4,Deltapapillomavirus 4
1,12637,train,Dengue virus,Dengue virus
1,3052525,train,Dera Ghazi Khan orthonairovirus,Dera Ghazi Khan orthonairovirus
1,11318,train,Dhori thogotovirus,Dhori thogotovirus
1,3052477,train,Dobrava-Belgrade orthohantavirus,Dobrava-Belgrade orthohantavirus
1,48981,train,Drosophila X virus,Drosophila X virus
1,1308859,train,Drosophila affinis sigmavirus,Drosophila affinis sigmavirus
1,1002359,train,Drosophila ananassae sigmavirus,Drosophila ananassae sigmavirus
1,1002360,train,Drosophila immigrans sigmavirus,Drosophila immigrans sigmavirus
1,1094373,train,Drosophila melanogaster sigmavirus,Drosophila melanogaster sigmavirus
1,948741,train,Drosophila obscura sigmavirus,Drosophila obscura sigmavirus
1,3052514,train,Dugbe orthonairovirus,Dugbe orthonairovirus
1,1972581,train,Durham tupavirus,Durham tupavirus
1,11021,train,Eastern equine encephalitis virus,Eastern equine encephalitis virus
1,12643,train,Ectromelia virus,Ectromelia virus
1,64296,train,Edge Hill virus,Edge Hill virus
1,488317,train,Eggplant mottled dwarf nucleorhabdovirus,Eggplant mottled dwarf nucleorhabdovirus
1,1231903,train,Eilat virus,Eilat virus
1,1987018,train,Ekpoma 1 tibrovirus,Ekpoma 1 tibrovirus
1,1987019,train,Ekpoma 2 tibrovirus,Ekpoma 2 tibrovirus
1,1881950,train,Elapid 1 orthobornavirus,Elapid 1 orthobornavirus
1,64283,train,Entebbe bat virus,Entebbe bat virus
1,138948,train,Enterovirus A,Enterovirus A
1,138949,train,Enterovirus B,Enterovirus B
1,12064,train,Enterovirus E,Enterovirus E
1,1330520,train,Enterovirus F,Enterovirus F
1,310907,train,Enterovirus H,Enterovirus H
1,2040663,train,Enterovirus I,Enterovirus I
1,1330521,train,Enterovirus J,Enterovirus J
1,40054,train,Epizootic hemorrhagic disease virus,Epizootic hemorrhagic disease virus
1,2501964,train,Epsilonarterivirus hemcep,Epsilonarterivirus hemcep
1,2501965,train,Epsilonarterivirus safriver,Epsilonarterivirus safriver
1,10326,train,Equid alphaherpesvirus 1,Equid alphaherpesvirus 1
1,80341,train,Equid alphaherpesvirus 3,Equid alphaherpesvirus 3
1,10331,train,Equid alphaherpesvirus 4,Equid alphaherpesvirus 4
1,39637,train,Equid alphaherpesvirus 8,Equid alphaherpesvirus 8
1,55744,train,Equid alphaherpesvirus 9,Equid alphaherpesvirus 9
1,12657,train,Equid gammaherpesvirus 2,Equid gammaherpesvirus 2
1,10371,train,Equid gammaherpesvirus 5,Equid gammaherpesvirus 5
1,201490,train,Equine encephalosis virus,Equine encephalosis virus
1,109270,train,Equine foamy virus,Equine foamy virus
1,11665,train,Equine infectious anemia virus,Equine infectious anemia virus
1,129954,train,Equine mastadenovirus A,Equine mastadenovirus A
1,129955,train,Equine mastadenovirus B,Equine mastadenovirus B
1,47000,train,Equine rhinitis A virus,Equine rhinitis A virus
1,329862,train,Equine torovirus,Equine torovirus
1,312185,train,Erbovirus A,Erbovirus A
1,273810,train,Eriocheir sinensis reovirus,Eriocheir sinensis reovirus
1,3052516,train,Estero Real orthonairovirus,Estero Real orthonairovirus
1,2501969,train,Etaarterivirus ugarco 1,Etaarterivirus ugarco 1
1,40056,train,Eubenangee virus,Eubenangee virus
1,57482,train,European bat 1 lyssavirus,European bat 1 lyssavirus
1,57483,train,European bat 2 lyssavirus,European bat 2 lyssavirus
1,33756,train,European brown hare syndrome virus,European brown hare syndrome virus
1,2083198,train,Everglades virus,Everglades virus
1,62352,train,Eyach virus,Eyach virus
1,1965074,train,Fathead minnow nidovirus 1,Fathead minnow nidovirus 1
1,10334,train,Felid alphaherpesvirus 1,Felid alphaherpesvirus 1
1,53182,train,Feline foamy virus,Feline foamy virus
1,11673,train,Feline immunodeficiency virus,Feline immunodeficiency virus
1,11768,train,Feline leukemia virus,Feline leukemia virus
1,1170234,train,Feline morbillivirus,Feline morbillivirus
1,3052202,train,Ferak feravirus,Ferak feravirus
1,77698,train,Fiji disease virus,Fiji disease virus
1,1978545,train,Fikirini ledantevirus,Fikirini ledantevirus
1,1972612,train,Flanders hapavirus,Flanders hapavirus
1,3052305,train,Flexal mammarenavirus,Flexal mammarenavirus
1,12110,train,Foot-and-mouth disease virus,Foot-and-mouth disease virus
1,48544,train,Fort Morgan virus,Fort Morgan virus
1,1978535,train,Fukuoka ledantevirus,Fukuoka ledantevirus
1,3052479,train,Fusong orthohantavirus,Fusong orthohantavirus
1,64307,train,Gadgets Gully virus,Gadgets Gully virus
1,3052306,train,Gairo mammarenavirus,Gairo mammarenavirus
1,1511776,train,Gallivirus A,Gallivirus A
1,3052393,train,Gamboa orthobunyavirus,Gamboa orthobunyavirus
1,2499678,train,Gammaarterivirus lacdeh,Gammaarterivirus lacdeh
1,333926,train,Gammapapillomavirus 1,Gammapapillomavirus 1
1,333928,train,Gammapapillomavirus 2,Gammapapillomavirus 2
1,333930,train,Gammapapillomavirus 4,Gammapapillomavirus 4
1,333931,train,Gammapapillomavirus 5,Gammapapillomavirus 5
1,11840,train,Gibbon ape leukemia virus,Gibbon ape leukemia virus
1,186805,train,Goatpox virus,Goatpox virus
1,3052723,train,Golden reptarenavirus,Golden reptarenavirus
1,3052211,train,Gouleako goukovirus,Gouleako goukovirus
1,1972613,train,Gray Lodge hapavirus,Gray Lodge hapavirus
1,204269,train,Great Island virus,Great Island virus
1,2170196,train,Grivet simian foamy virus,Grivet simian foamy virus
1,3052395,train,Guajara orthobunyavirus,Guajara orthobunyavirus
1,3052396,train,Guama orthobunyavirus,Guama orthobunyavirus
1,3052307,train,Guanarito mammarenavirus,Guanarito mammarenavirus
1,3052397,train,Guaroa orthobunyavirus,Guaroa orthobunyavirus
1,3052480,train,Hantaan orthohantavirus,Hantaan orthohantavirus
1,2003391,train,Harkavirus A,Harkavirus A
1,1972614,train,Hart Park hapavirus,Hart Park hapavirus
1,3052519,train,Hazara orthonairovirus,Hazara orthonairovirus
1,3052223,train,Hendra henipavirus,Hendra henipavirus
1,3052228,train,Hepacivirus A,Hepacivirus A
1,3052236,train,Hepacivirus B,Hepacivirus B
1,3052227,train,Hepacivirus D,Hepacivirus D
1,3052235,train,Hepacivirus E,Hepacivirus E
1,3052237,train,Hepacivirus G,Hepacivirus G
1,3052233,train,Hepacivirus H,Hepacivirus H
1,3052238,train,Hepacivirus I,Hepacivirus I
1,3052229,train,Hepacivirus J,Hepacivirus J
1,3052231,train,Hepacivirus K,Hepacivirus K
1,3052239,train,Hepacivirus L,Hepacivirus L
1,3052234,train,Hepacivirus M,Hepacivirus M
1,3052226,train,Hepacivirus N,Hepacivirus N
1,10407,train,Hepatitis B virus,Hepatitis B virus
1,12092,train,Hepatovirus A,Hepatovirus A
1,1987123,train,Hepatovirus B,Hepatovirus B
1,1987124,train,Hepatovirus C,Hepatovirus C
1,1987125,train,Hepatovirus D,Hepatovirus D
1,1987126,train,Hepatovirus E,Hepatovirus E
1,1987127,train,Hepatovirus F,Hepatovirus F
1,1987128,train,Hepatovirus G,Hepatovirus G
1,1987129,train,Hepatovirus H,Hepatovirus H
1,1987130,train,Hepatovirus I,Hepatovirus I
1,3052241,train,Herbert herbevirus,Herbert herbevirus
1,11024,train,Highlands J virus,Highlands J virus
1,1980915,train,Hirame novirhabdovirus,Hirame novirhabdovirus
1,2748958,train,Huaiyangshan banyangvirus,Huaiyangshan banyangvirus
1,3052510,train,Hughes orthonairovirus,Hughes orthonairovirus
1,10298,train,Human alphaherpesvirus 1,Human alphaherpesvirus 1
1,10310,train,Human alphaherpesvirus 2,Human alphaherpesvirus 2
1,10359,train,Human betaherpesvirus 5,Human betaherpesvirus 5
1,10372,train,Human betaherpesvirus 7,Human betaherpesvirus 7
1,11137,train,Human coronavirus 229E,Human coronavirus 229E
1,277944,train,Human coronavirus NL63,Human coronavirus NL63
